SPECIES_PK,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,FAMILY,Trevally_109,Jacks_110,Bottomfishes_200,Groupers_210,Deep_snappers_230,Prist_Etelis_240,Emporers_260,Inshore_groupers_380,Inshore_snappers_390,Fish_100
325,Acanthurus,Whitespotted surgeonfish,guttatus,Whitespotted surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
326,Acanthurus,Brown surgeonfish,nigrofuscus,Brown surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
327,Naso,Naso tangs,spp.,Naso tangs,Acanthuridae,0,0,0,0,0,0,0,0,0,1
328,Acanthurus,Achilles tang,achilles,Achilles tang,Acanthuridae,0,0,0,0,0,0,0,0,0,1
329,Acanthurus,Ringtail surgeonfish,blochii,Ringtail surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
330,Naso,Unicornfishes,spp.,Unicornfishes,Acanthuridae,0,0,0,0,0,0,0,0,0,1
331,Naso,Whitemargin unicornfish,annulatus,Whitemargin unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
332,Naso,Orangespine unicornfish,lituratus,Orangespine unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
333,Naso,Humpback unicornfish,brachycentron,Humpback unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
334,Naso,Spotted unicornfish,brevirostris,Spotted unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
335,Naso,Gray unicornfish,caesius,Gray unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
336,Naso,Black tongue unicornfish,hexacanthius,Black tongue unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
337,Naso,Barred unicornfish,thynnoides,Barred unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
338,Naso,Humpnose unicornish,tuberosus,Humpnose unicornish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
339,Naso,Bluespine unicornfish,unicornis,Bluespine unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
340,Sargocentron,Squirrelfishes,spp.,Squirrelfishes,Holocentridae,0,0,0,0,0,0,0,0,0,1
341,Sargocentron,Saber squirrelfish,spiniferum,Saber squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
342,Myripristis,Bronze soldierfish,adustus,Bronze soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
343,Myripristis,Pearly soldierfish,kuntee,Pearly soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
344,Myripristis,Scarlet soldierfish,pralinius,Scarlet soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
345,Myripristis,Bigscale soldierfish,berndti,Bigscale soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
346,Myripristis,Violet soldierfish,violaceus,Violet soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
347,Neoniphon,Yellowstriped squirrelfish,aurolineatus,Yellowstriped squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
348,Neoniphon,Blackfin squirrelfish,opercularis,Blackfin squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
349,Priacanthus,Bigeye squirrelfish,spp.,Bigeye squirrelfish,Priacanthidae,0,0,1,0,0,0,0,0,0,1
350,Scarus,Parrotfishes,spp.,Parrotfishes,Scaridae,0,0,0,0,0,0,0,0,0,1
351,Neoniphon,Sammara squirrelfish,sammara,Sammara squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
352,Sargocentron,Tailspot squirrelfish,caudimaculatum,Tailspot squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
353,Sargocentron,Crown squirrelfish,diadema,Crown squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
354,Sargocentron,Peppered squirrelfish,punctatissimum,Peppered squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
355,Terapon,Terapon perch,jarbua,Terapon perch,Teraponidae,0,0,0,0,0,0,0,0,0,1
356,Sargocentron,Filelined squirrelfish,microstoma,Filelined squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
357,Plectorhinchus,Sweetlips,spp.,Sweetlips,Haemulidae,0,0,0,0,0,0,0,0,0,1
358,Sargocentron,Violet squirrelfish,violaceum,Violet squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
359,Sargocentron,Blackspot squirrelfish,melanospilos,Blackspot squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0,1
360,Multi-genera,Wrasses,Multi-species,Wrasses,Labridae,0,0,0,0,0,0,0,0,0,1
361,Thalassoma,Christmas wrasse,trilobata,Christmas wrasse,Labridae,0,0,0,0,0,0,0,0,0,1
363,Kuhlia,Flagtails,spp.,Flagtails,Kuhliidae,0,0,0,0,0,0,0,0,0,1
365,Multi-genera,Bigeye,Multi-species,Bigeye,Priacanthidae,0,0,1,0,0,0,0,0,0,1
