"SPECIES_FK","SCIENTIFIC_NAME","COMMON_NAME","LOCAL_NAME"
"3416","Myripristis woodsi","Whitespot Soldierfish","NULL"
"342","Myripristis adustus","Bronze soldierfish","Malau tui"
"343","Myripristis kuntee","Pearly soldierfish","Malau puu"
"344","Myripristis pralinius","Scarlet soldierfish","Malau mano"
"345","Myripristis berndti","Bigscale soldierfish","Malau ugatele"
"346","Myripristis violaceus","Violet soldierfish","Malau tuauli"
"347","Neoniphon aurolineatus","Yellowstriped squirrelfish","Malau vaa"
"348","Neoniphon opercularis","Blackfin squirrelfish","Malau loa"
"3488","Chlorurus frontalis","Reefcrest Parrotfish","NULL"
"3489","Chlorurus japanensis","Redtail Parrotfish","NULL"
"349","Priacanthus spp.","Bigeye squirrelfish","Matapula (Squirrelfish)"
"3490","Chlorurus microrhinos","Steephead Parrotfish","NULL"
"3491","Chlorurus sordidus","Bullethead Parrotfish","NULL"
"3492","Scarus altipinnis","Filament-fin Parrotfish","NULL"
"3493","Scarus forsteni","Bluepatch Parrotfish","NULL"
"3494","Scarus frenatus","Bridled Parrotfish","NULL"
"3495","Scarus globiceps","Violet-lined Parrotfish","NULL"
"3496","Scarus oviceps","Dark-capped Parrotfish","NULL"
"3497","Scarus psittacus","Palenose Parrotfish","NULL"
"3498","Scarus rubroviolaceus","Redlip Parrotfish","NULL"
"3499","Scarus spinus","Greencap Parrotfish","NULL"
"350","Scarus spp.","Parrotfishes","Fuga, Fuga usi, Laea"
"3500","Scarus tricolor","Tricolor Parrotfish","NULL"
"3501","Calotomus carolinus","Stareye parrotfish","Fuga (Stareye)"
"3502","Scarus schlegeli","Yellowband parrotfish","Fuga matapuaa"
"3503","Hipposcarus Longiceps","Longnose parrotfish","Ulapokea"
"3504","Siganus punctatus","Goldspotted rabbitfish","NULL"
"3511","Sargocentron tiere","Bluelined squirrelfish","NULL"
"352","Sargocentron caudimaculatum","Tailspot squirrelfish","Malau Iusima"
"354","Sargocentron punctatissimum","Peppered squirrelfish","Malau faimumu"
"355","Terapon jarbua","Terapon perch","Avaava"
"356","Sargocentron microstoma","Filelined squirrelfish","Malau tianiu"
"357","Plectorhinchus spp.","Sweetlips","Avaava moana"
"360","Multi-genera Multi-species","Wrasses","Sugale, lalafi"
"3601","Cheilinus undulatus","Napoleon wrasse","Tagafa"
"3602","Cheilinus trilobatus","Triple tail wrasse","Lalafi matamumu"
"3603","Cheilinus chlorourus","Floral wrasse","Lalafi matapuaa"
"3604","Cheilinus fasciatus","Harlequin tuskfish","Lalafi pulepule"
"3605","Oxycheilinus diagrammus","Bandcheck wrasse","Sugale (Bandcheck)"
"3609","Hemigymnus melapterus","Blackeye thicklip","Sugale lupe"
"361","Thalassoma trilobata","Christmas wrasse","Pataotao"
"3610","Hemigymnus fasciatus","Barred thicklip","Sugale gutumafia"
"3612","Thalassoma purpureum","Surge wrasse","Uloulo gatala"
"3614","Gomphosus varius","Bird wrasse","Gutusio"
"3615","Cheilinus sp spp.","Cheilinus wrasses","Malakea"
"3620","Epibulus insidiator","Slingjaw Wrasse","NULL"
"3621","Plectorhinchus vittatus","Oriental sweetlips","NULL"
"3631","Kuhlia mugil","Barred flagtail","Mataele (Barred Flagtail)"
"366","Priacanthus blochii","Paeony bulleye","Matapula (Bloch's)"
"367","Heteropriacanthus cruentatus","Glasseye","Matapula (Glasseye)"
"368","Malacanthus spp.","Tilefishes","Mootai"
"369","Priacanthus hamrur","Moontail bullseye","Matapula (Bullseye)"
"370","Mulloidichthys spp.","Yellow goatfishes (unknwn)","Iasina (Yellow asstd)"
"371","Mulloidichthys flavolineatus","Yellowstripe goatfish","Afulu"
"372","Mulloidichthys vanicolensis","Yellowfin goatfish","Vete (Yellowhin)"
"373","Parupeneus barberinus","Dash-and-dot goatfish","Tulausaena"
"3731","Parupeneus bifasciatus","Doublebar goatfish","Matulau moana"
"3732","Parupeneus ciliatus","White-lined goatfish","NULL"
"3733","Parupeneus multifasciatus","Multi-barred goatfish","Iasina (Multi-barred)"
"3734","Multi-genera Multi-species","Goatfishes","Vete, Veke"
"374","Parupeneus cyclostomus","Yellowsaddle goatfish","NULL"
"375","Mulloidichthys pfluegeri","Pink goatfish","Moana ula (Pink)"
"376","Parupeneus heptacanthus","Redspot goatfish","Moana ula (Redspot)"
"377","Parupeneus indicus","Indian goatfish","Tauleia"
"378","Parupeneus insularis","Parupenus insularis","Matalau ilamutu"
"379","Pempheris spp.","Sweepers","Manifi"
"380","Multi-species spp.","Inshore groupers","NULL"
"3822","Melichthys vidua","Pinktail triggerfish","Sumu siumumu"
"383","Multi-genera Multi-species","Triggerfishes","Sumu"
"385","Chaetodon spp.","Butterflyfishes","Tifitifi"
"3851","Chaetodon auriga","Butterflyfish (auriga)","Siu"
"3855","Taractichthys steindachneri","Monchong","Manifi"
"3856","Caesio teres","Blue and Yellow Fusilier","NULL"
"3857","Caesio varilineata","Variable-lined fusilier","NULL"
"3859","Coris gaimard","Yellowtail Coris","NULL"
"386","Diodon spp.","Porcupinefish","Tautu"
"387","Balistoides viridescens","Titan triggerfish","Sumu laulau"
