SPECIES_PK,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,FAMILY,Trevally_109,Jacks_110,Bottomfishes_200,Groupers_210,Deep_snappers_230,Prist_Etelis_240,Emporers_260,Inshore_groupers_380,Inshore_snappers_390
904,Phoebastria,Short-tailed albatross,albatrus,Short-tailed albatross,Diomedeidae,0,0,0,0,0,0,0,0,0
903,Phoebastria,Laysan albatross,immutabilis,Laysan albatross,Diomedeidae,0,0,0,0,0,0,0,0,0
902,Phoebastria,Blackfoot albatross,nigripes,Blackfoot albatross,Diomedeidae,0,0,0,0,0,0,0,0,0
901,Phoebastria,Albatross,spp.,Albatross,Diomedeidae,0,0,0,0,0,0,0,0,0
558,Echinometra,White sea urchin insides,mathaei,White sea urchin insides,Echinometridae,0,0,0,0,0,0,0,0,0
188,Encrasicholina,Anchovies,spp.,Anchovies,Engraulidae,0,0,0,0,0,0,0,0,0
5187,Platax,Circular spadefish,orbicular,Circular spadefish,Ephippidae,0,0,0,0,0,0,0,0,0
182,Platax,"Batfishes, Spadefishes",spp.,"Batfishes, Spadefishes",Ephippidae,0,0,0,0,0,0,0,0,0
907,Platax,Spadefish,spp.,Spadefish,Ephippidae,0,0,0,0,0,0,0,0,0
5151,Platax,Longfin spadefish,teira,Longfin spadefish,Ephippidae,0,0,0,0,0,0,0,0,0
570,Palola,Annelid worm,viridis,Annelid worm,Eunicidae,0,0,0,0,0,0,0,0,0
132,"Exocoetus, Cheilopogon",Flyingfishes,spp.,Flyingfishes,Exocoetidae,0,0,0,0,0,0,0,0,0
133,Fistularia,Cornetfish,commersonii,Cornetfish,Fistulariidae,0,0,0,0,0,0,0,0,0
702,Pollachius,Pollock,virens,Pollock,Gadidae,0,0,0,0,0,0,0,0,0
292,Ruvettus,Oilfish,"pretiosus, marleyi",Oilfish,Gempylidae,0,0,1,0,0,0,0,0,0
291,Promethichthys,Snake mackerel,prometheus,Snake mackerel,Gempylidae,0,0,1,0,0,0,0,0,0
5182,Gerres,Slender/Oblong silver-bidd,oblongus,Slender/Oblong silver-bidd,Gerreidae,0,0,0,0,0,0,0,0,0
135,Gerres,Mojarras,spp.,Mojarras,Gerreidae,0,0,0,0,0,0,0,0,0
5169,Plectorhinchus,"Giant sweetlips, Two-strip",albovittatus,"Giant sweetlips, Two-strip",Haemulidae,0,0,0,0,0,0,0,0,0
5267,Plectorhinchus,Harlequin sweetlips,chaetodonoides,Harlequin sweetlips,Haemulidae,0,0,0,0,0,0,0,0,0
5131,Plectorhinchus,"Blubberlip, Harry hotlips",gibbosus,"Blubberlip, Harry hotlips",Haemulidae,0,0,0,0,0,0,0,0,0
5168,Plectorhinchus,Dotted sweetlips,picus,Dotted sweetlips,Haemulidae,0,0,0,0,0,0,0,0,0
357,Plectorhinchus,Sweetlips,spp.,Sweetlips,Haemulidae,0,0,0,0,0,0,0,0,0
3621,Plectorhinchus,Oriental sweetlips,vittatus,Oriental sweetlips,Haemulidae,0,0,0,0,0,0,0,0,0
136,Hemiramphus,Halfbeaks,spp.,Halfbeaks,Hemirhamphidae,0,0,0,0,0,0,0,0,0
